ID	Group	Type	Text	Comment	xmin	xmax	ymin	ymax	alpha	color	Evaluate	Resolution	Evaluate_bigbox	shape
28	Output1	Box	Predicted alaligne Map 		-0.5	0.5	-6.5	-5.5	0.5	#43aa8b	T	8 cm 	F	diamond
29	Validation2	Box	Accuracy alaligne Assesment 		-2	-1	-8	-7	0.5	#90be6d	T	8 cm 	F	square
30	input data 1	Box	Ground Control alaligne Quadrats		-3.5	-2.5	-9.5	-8.5	0.5	#f94144	T	NA	F	diamond
31	Predictioncm	Arrow		8 -> 27	-1.5	-1.5	-4.25	-5.5			T	NA	F	
32	Output1	Box	Confusion alaligne Matrix		-0.5	0.5	-8	-7	0.5	#43aa8b	T	8 cm 	F	diamond
33	Predictioncm	Arrow		27 -> 28	-1	-0.5	-6	-6	0.5		T	NA	F	
35	Predictioncm	Arrow		27 -> 29	-1.5	-1.5	-6.5	-7	0.5		T	NA	F	
36	Predictioncm	Segment		30 -> 29	-2.5	-1.5	-9	-9	0.5		T	NA	F	
36	Predictioncm	Arrow		30 -> 29	-1.5	-1.5	-9	-8	0.5		T	NA	F	
37	Predictioncm	Arrow		29 -> 32 	-1	-0.5	-7.5	-7.5	0.5		T	NA	F	
38		Box	Classified alaligne Map with alaligne Uncertainties		3	4	-4.25	-3.25	0.5	#577590	T	NA	F	diamond
391		Segment		18 -> 44	0.5	2	0	0	0.5		T	NA	F	
39		Arrow		18 -> 44	2	2	0	-0.25	0.5		T	NA	F	
401		Segment		22 -> 38	0	0	-2	-3.6	0.5		T	NA	F	
40		Arrow		22 -> 38	0	3.03	-3.6	-3.60	0.5		T	NA	F	
411		Segment		28 -> 45	0.5	1.9	-6	-6	0.5		T	NA	F	
41		Arrow		28 -> 45	1.9	1.9	-6	-6.25	0.5		T	NA	F	
421		Segment		32 -> 45	0.5	2	-7.5	-7.5	0.5		T	NA	F	
42		Arrow		32 -> 45	2	2	-7.5	-7.25	0.5		T	NA	F	
43		Arrow		8 -> 38	-1	2.99	-3.75	-3.75			T	NA	F	
44		Box	Uncertainty alaligne Map		1.5	2.5	-1.25	-0.25	0.5	#43aa8b	T	8 mm 	F	diamond
45		Box	Uncertainty alaligne Map		1.5	2.5	-7.25	-6.25	0.5	#43aa8b	T	8 cm 	F	diamond
461		Segment		45 -> 38	2.1	2.1	-6.25	-4.05			T	NA	F	
46		Arrow		45 -> 38	2.1	2.92	-4.05	-4.05			T	NA	F	
471		Segment		28 -> 38	0	0	-5.5	-3.9			T	NA	F	
47		Arrow		28 -> 38	0	2.95	-3.9	-3.9			T	NA	F	
481		Segment		22 -> 44	0.5	1.9	-1.5	-1.5			T	NA	F	
48		Arrow		22 -> 44	1.9	1.9	-1.5	-1.25			T	NA	F	
491		Segment		44 -> 38	2.1	2.1	-1.25	-3.45			T	NA	F	
49		Arrow		44 -> 38	2.1	3.06	-3.45	-3.45			T	NA	F	
50		Box	Pre alaligne Processing		-3.5	-2.5	-6.5	-5.5	0.5	#f3722c	T	NA	F	square
51		Box	Pre alaligne Processing		-3.5	-2.5	-3.1	-2.1	0.5	#f3722c	T	NA	F	square
521		Segment		1 -> 51	-4	-3.1	-1.5	-1.5			F	NA	F	
52		Arrow		1 -> 51	-3	-3	-1.25	-2.1			T	NA	F	
531		Segment		51 -> 8	-2.5	-1.6	-2.6	-2.6			T		F	
53		Arrow		51 -> 8	-1.6	-1.6	-2.6	-3.25			T		F	
541		Segment		51 -> 19	-2.5	-1.6	-2.5	-2.5			T	NA	F	
54		Arrow		51 -> 19	-1.6	-1.6	-2.5	-2			T	NA	F	
55		Arrow		3 -> 8	-4.03	-2	-3.85	-3.85			T	NA	F	
56		Arrow		2 -> 50 	-4	-3.5	-6	-6			T	NA	F	
57		Arrow		50 -> 27	-2.5	-2	-6	-6			T	NA	F	
581		Segment		1 -> 14	-3	-3	-0.25	-0.1			T	NA	F	
58		Arrow		1 -> 14	-3	-2	-0.1	-0.1			T	NA	F	
59		Box	Input / Output		0	1	-9.5	-8.5		NA	T	NA	F	diamond
60		Box	Process		1.5	2.5	-9.5	-8.5		NA	T	NA	F	square
