row,col,value,Model,Data,Rep
Ulvophyceae,Ulvophyceae,34,Random Forest,ASD,Rep_4
Xanthophyceae,Ulvophyceae,0,Random Forest,ASD,Rep_4
Bacillariophyceae,Xanthophyceae,0,Random Forest,ASD,Rep_4
Bare Sediment,Xanthophyceae,0,Random Forest,ASD,Rep_4
Magnoliosida,Xanthophyceae,0,Random Forest,ASD,Rep_4
Phaephyceae,Xanthophyceae,0,Random Forest,ASD,Rep_4
Ulvophyceae,Xanthophyceae,1,Random Forest,ASD,Rep_4
Xanthophyceae,Xanthophyceae,4,Random Forest,ASD,Rep_4
Bacillariophyceae,Bacillariophyceae,10,Random Forest,ASD,Rep_5
Bare Sediment,Bacillariophyceae,0,Random Forest,ASD,Rep_5
Magnoliosida,Bacillariophyceae,1,Random Forest,ASD,Rep_5
Phaephyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_5
Ulvophyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_5
Xanthophyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_5
Bacillariophyceae,Bare Sediment,0,Random Forest,ASD,Rep_5
Bare Sediment,Bare Sediment,11,Random Forest,ASD,Rep_5
Magnoliosida,Bare Sediment,0,Random Forest,ASD,Rep_5
Phaephyceae,Bare Sediment,0,Random Forest,ASD,Rep_5
Ulvophyceae,Bare Sediment,0,Random Forest,ASD,Rep_5
Xanthophyceae,Bare Sediment,0,Random Forest,ASD,Rep_5
Bacillariophyceae,Magnoliosida,0,Random Forest,ASD,Rep_5
Bare Sediment,Magnoliosida,0,Random Forest,ASD,Rep_5
Magnoliosida,Magnoliosida,20,Random Forest,ASD,Rep_5
Phaephyceae,Magnoliosida,0,Random Forest,ASD,Rep_5
Ulvophyceae,Magnoliosida,0,Random Forest,ASD,Rep_5
Xanthophyceae,Magnoliosida,0,Random Forest,ASD,Rep_5
Bacillariophyceae,Phaephyceae,0,Random Forest,ASD,Rep_5
Bare Sediment,Phaephyceae,0,Random Forest,ASD,Rep_5
Magnoliosida,Phaephyceae,0,Random Forest,ASD,Rep_5
Phaephyceae,Phaephyceae,16,Random Forest,ASD,Rep_5
Ulvophyceae,Phaephyceae,0,Random Forest,ASD,Rep_5
Xanthophyceae,Phaephyceae,0,Random Forest,ASD,Rep_5
Bacillariophyceae,Ulvophyceae,0,Random Forest,ASD,Rep_5
Bare Sediment,Ulvophyceae,0,Random Forest,ASD,Rep_5
Magnoliosida,Ulvophyceae,1,Random Forest,ASD,Rep_5
Phaephyceae,Ulvophyceae,0,Random Forest,ASD,Rep_5
Ulvophyceae,Ulvophyceae,26,Random Forest,ASD,Rep_5
Xanthophyceae,Ulvophyceae,0,Random Forest,ASD,Rep_5
Bacillariophyceae,Xanthophyceae,0,Random Forest,ASD,Rep_5
Bare Sediment,Xanthophyceae,0,Random Forest,ASD,Rep_5
Magnoliosida,Xanthophyceae,0,Random Forest,ASD,Rep_5
Phaephyceae,Xanthophyceae,0,Random Forest,ASD,Rep_5
Ulvophyceae,Xanthophyceae,4,Random Forest,ASD,Rep_5
Xanthophyceae,Xanthophyceae,4,Random Forest,ASD,Rep_5
Bacillariophyceae,Bacillariophyceae,9,Random Forest,ASD,Rep_6
Bare Sediment,Bacillariophyceae,0,Random Forest,ASD,Rep_6
Magnoliosida,Bacillariophyceae,0,Random Forest,ASD,Rep_6
Phaephyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_6
Ulvophyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_6
Xanthophyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_6
Bacillariophyceae,Bare Sediment,0,Random Forest,ASD,Rep_6
Bare Sediment,Bare Sediment,4,Random Forest,ASD,Rep_6
Magnoliosida,Bare Sediment,0,Random Forest,ASD,Rep_6
Phaephyceae,Bare Sediment,0,Random Forest,ASD,Rep_6
Ulvophyceae,Bare Sediment,0,Random Forest,ASD,Rep_6
Xanthophyceae,Bare Sediment,0,Random Forest,ASD,Rep_6
Bacillariophyceae,Magnoliosida,0,Random Forest,ASD,Rep_6
Bare Sediment,Magnoliosida,0,Random Forest,ASD,Rep_6
Magnoliosida,Magnoliosida,18,Random Forest,ASD,Rep_6
Phaephyceae,Magnoliosida,0,Random Forest,ASD,Rep_6
Ulvophyceae,Magnoliosida,0,Random Forest,ASD,Rep_6
Xanthophyceae,Magnoliosida,2,Random Forest,ASD,Rep_6
Bacillariophyceae,Phaephyceae,0,Random Forest,ASD,Rep_6
Bare Sediment,Phaephyceae,0,Random Forest,ASD,Rep_6
Magnoliosida,Phaephyceae,0,Random Forest,ASD,Rep_6
Phaephyceae,Phaephyceae,19,Random Forest,ASD,Rep_6
Ulvophyceae,Phaephyceae,1,Random Forest,ASD,Rep_6
Xanthophyceae,Phaephyceae,0,Random Forest,ASD,Rep_6
Bacillariophyceae,Ulvophyceae,0,Random Forest,ASD,Rep_6
Bare Sediment,Ulvophyceae,0,Random Forest,ASD,Rep_6
Magnoliosida,Ulvophyceae,1,Random Forest,ASD,Rep_6
Phaephyceae,Ulvophyceae,0,Random Forest,ASD,Rep_6
Ulvophyceae,Ulvophyceae,29,Random Forest,ASD,Rep_6
Xanthophyceae,Ulvophyceae,0,Random Forest,ASD,Rep_6
Bacillariophyceae,Xanthophyceae,0,Random Forest,ASD,Rep_6
Bare Sediment,Xanthophyceae,0,Random Forest,ASD,Rep_6
Magnoliosida,Xanthophyceae,0,Random Forest,ASD,Rep_6
Phaephyceae,Xanthophyceae,0,Random Forest,ASD,Rep_6
Ulvophyceae,Xanthophyceae,1,Random Forest,ASD,Rep_6
Xanthophyceae,Xanthophyceae,8,Random Forest,ASD,Rep_6
Bacillariophyceae,Bacillariophyceae,12,Random Forest,ASD,Rep_7
Bare Sediment,Bacillariophyceae,0,Random Forest,ASD,Rep_7
Magnoliosida,Bacillariophyceae,0,Random Forest,ASD,Rep_7
Phaephyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_7
Ulvophyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_7
Xanthophyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_7
Bacillariophyceae,Bare Sediment,0,Random Forest,ASD,Rep_7
Bare Sediment,Bare Sediment,6,Random Forest,ASD,Rep_7
Magnoliosida,Bare Sediment,0,Random Forest,ASD,Rep_7
Phaephyceae,Bare Sediment,0,Random Forest,ASD,Rep_7
Ulvophyceae,Bare Sediment,0,Random Forest,ASD,Rep_7
Xanthophyceae,Bare Sediment,0,Random Forest,ASD,Rep_7
Bacillariophyceae,Magnoliosida,0,Random Forest,ASD,Rep_7
Bare Sediment,Magnoliosida,0,Random Forest,ASD,Rep_7
Magnoliosida,Magnoliosida,19,Random Forest,ASD,Rep_7
Phaephyceae,Magnoliosida,0,Random Forest,ASD,Rep_7
Ulvophyceae,Magnoliosida,0,Random Forest,ASD,Rep_7
Xanthophyceae,Magnoliosida,0,Random Forest,ASD,Rep_7
Bacillariophyceae,Phaephyceae,0,Random Forest,ASD,Rep_7
Bare Sediment,Phaephyceae,0,Random Forest,ASD,Rep_7
Magnoliosida,Phaephyceae,0,Random Forest,ASD,Rep_7
Phaephyceae,Phaephyceae,15,Random Forest,ASD,Rep_7
Ulvophyceae,Phaephyceae,0,Random Forest,ASD,Rep_7
Xanthophyceae,Phaephyceae,0,Random Forest,ASD,Rep_7
Bacillariophyceae,Ulvophyceae,0,Random Forest,ASD,Rep_7
Bare Sediment,Ulvophyceae,1,Random Forest,ASD,Rep_7
Magnoliosida,Ulvophyceae,0,Random Forest,ASD,Rep_7
Phaephyceae,Ulvophyceae,0,Random Forest,ASD,Rep_7
Ulvophyceae,Ulvophyceae,28,Random Forest,ASD,Rep_7
Xanthophyceae,Ulvophyceae,1,Random Forest,ASD,Rep_7
Bacillariophyceae,Xanthophyceae,0,Random Forest,ASD,Rep_7
Bare Sediment,Xanthophyceae,0,Random Forest,ASD,Rep_7
Magnoliosida,Xanthophyceae,0,Random Forest,ASD,Rep_7
Phaephyceae,Xanthophyceae,0,Random Forest,ASD,Rep_7
Ulvophyceae,Xanthophyceae,1,Random Forest,ASD,Rep_7
Xanthophyceae,Xanthophyceae,9,Random Forest,ASD,Rep_7
Bacillariophyceae,Bacillariophyceae,10,Random Forest,ASD,Rep_8
Bare Sediment,Bacillariophyceae,0,Random Forest,ASD,Rep_8
Magnoliosida,Bacillariophyceae,0,Random Forest,ASD,Rep_8
Phaephyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_8
Ulvophyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_8
Xanthophyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_8
Bacillariophyceae,Bare Sediment,0,Random Forest,ASD,Rep_8
Bare Sediment,Bare Sediment,6,Random Forest,ASD,Rep_8
Magnoliosida,Bare Sediment,0,Random Forest,ASD,Rep_8
Phaephyceae,Bare Sediment,0,Random Forest,ASD,Rep_8
Ulvophyceae,Bare Sediment,0,Random Forest,ASD,Rep_8
Xanthophyceae,Bare Sediment,0,Random Forest,ASD,Rep_8
Bacillariophyceae,Magnoliosida,0,Random Forest,ASD,Rep_8
Bare Sediment,Magnoliosida,0,Random Forest,ASD,Rep_8
Magnoliosida,Magnoliosida,20,Random Forest,ASD,Rep_8
Phaephyceae,Magnoliosida,0,Random Forest,ASD,Rep_8
Ulvophyceae,Magnoliosida,0,Random Forest,ASD,Rep_8
Xanthophyceae,Magnoliosida,0,Random Forest,ASD,Rep_8
Bacillariophyceae,Phaephyceae,0,Random Forest,ASD,Rep_8
Bare Sediment,Phaephyceae,0,Random Forest,ASD,Rep_8
Magnoliosida,Phaephyceae,0,Random Forest,ASD,Rep_8
Phaephyceae,Phaephyceae,13,Random Forest,ASD,Rep_8
Ulvophyceae,Phaephyceae,0,Random Forest,ASD,Rep_8
Xanthophyceae,Phaephyceae,0,Random Forest,ASD,Rep_8
Bacillariophyceae,Ulvophyceae,0,Random Forest,ASD,Rep_8
Bare Sediment,Ulvophyceae,0,Random Forest,ASD,Rep_8
Magnoliosida,Ulvophyceae,0,Random Forest,ASD,Rep_8
Phaephyceae,Ulvophyceae,0,Random Forest,ASD,Rep_8
Ulvophyceae,Ulvophyceae,30,Random Forest,ASD,Rep_8
Xanthophyceae,Ulvophyceae,2,Random Forest,ASD,Rep_8
Bacillariophyceae,Xanthophyceae,0,Random Forest,ASD,Rep_8
Bare Sediment,Xanthophyceae,0,Random Forest,ASD,Rep_8
Magnoliosida,Xanthophyceae,0,Random Forest,ASD,Rep_8
Phaephyceae,Xanthophyceae,0,Random Forest,ASD,Rep_8
Ulvophyceae,Xanthophyceae,1,Random Forest,ASD,Rep_8
Xanthophyceae,Xanthophyceae,11,Random Forest,ASD,Rep_8
Bacillariophyceae,Bacillariophyceae,9,Random Forest,ASD,Rep_9
Bare Sediment,Bacillariophyceae,0,Random Forest,ASD,Rep_9
Magnoliosida,Bacillariophyceae,0,Random Forest,ASD,Rep_9
Phaephyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_9
Ulvophyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_9
Xanthophyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_9
Bacillariophyceae,Bare Sediment,0,Random Forest,ASD,Rep_9
Bare Sediment,Bare Sediment,14,Random Forest,ASD,Rep_9
Magnoliosida,Bare Sediment,0,Random Forest,ASD,Rep_9
Phaephyceae,Bare Sediment,0,Random Forest,ASD,Rep_9
Ulvophyceae,Bare Sediment,0,Random Forest,ASD,Rep_9
Xanthophyceae,Bare Sediment,0,Random Forest,ASD,Rep_9
Bacillariophyceae,Magnoliosida,0,Random Forest,ASD,Rep_9
Bare Sediment,Magnoliosida,0,Random Forest,ASD,Rep_9
Magnoliosida,Magnoliosida,20,Random Forest,ASD,Rep_9
Phaephyceae,Magnoliosida,0,Random Forest,ASD,Rep_9
Ulvophyceae,Magnoliosida,0,Random Forest,ASD,Rep_9
Xanthophyceae,Magnoliosida,0,Random Forest,ASD,Rep_9
Bacillariophyceae,Phaephyceae,0,Random Forest,ASD,Rep_9
Bare Sediment,Phaephyceae,0,Random Forest,ASD,Rep_9
Magnoliosida,Phaephyceae,0,Random Forest,ASD,Rep_9
Phaephyceae,Phaephyceae,12,Random Forest,ASD,Rep_9
Ulvophyceae,Phaephyceae,0,Random Forest,ASD,Rep_9
Xanthophyceae,Phaephyceae,0,Random Forest,ASD,Rep_9
Bacillariophyceae,Ulvophyceae,0,Random Forest,ASD,Rep_9
Bare Sediment,Ulvophyceae,1,Random Forest,ASD,Rep_9
Magnoliosida,Ulvophyceae,0,Random Forest,ASD,Rep_9
Phaephyceae,Ulvophyceae,1,Random Forest,ASD,Rep_9
Ulvophyceae,Ulvophyceae,27,Random Forest,ASD,Rep_9
Xanthophyceae,Ulvophyceae,0,Random Forest,ASD,Rep_9
Bacillariophyceae,Xanthophyceae,0,Random Forest,ASD,Rep_9
Bare Sediment,Xanthophyceae,0,Random Forest,ASD,Rep_9
Magnoliosida,Xanthophyceae,0,Random Forest,ASD,Rep_9
Phaephyceae,Xanthophyceae,0,Random Forest,ASD,Rep_9
Ulvophyceae,Xanthophyceae,0,Random Forest,ASD,Rep_9
Xanthophyceae,Xanthophyceae,8,Random Forest,ASD,Rep_9
Bacillariophyceae,Bacillariophyceae,8,Random Forest,ASD,Rep_10
Bare Sediment,Bacillariophyceae,0,Random Forest,ASD,Rep_10
Magnoliosida,Bacillariophyceae,0,Random Forest,ASD,Rep_10
Phaephyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_10
Ulvophyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_10
Xanthophyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_10
Bacillariophyceae,Bare Sediment,0,Random Forest,ASD,Rep_10
Bare Sediment,Bare Sediment,4,Random Forest,ASD,Rep_10
Magnoliosida,Bare Sediment,0,Random Forest,ASD,Rep_10
Phaephyceae,Bare Sediment,0,Random Forest,ASD,Rep_10
Ulvophyceae,Bare Sediment,0,Random Forest,ASD,Rep_10
Xanthophyceae,Bare Sediment,0,Random Forest,ASD,Rep_10
Bacillariophyceae,Magnoliosida,0,Random Forest,ASD,Rep_10
Bare Sediment,Magnoliosida,0,Random Forest,ASD,Rep_10
Magnoliosida,Magnoliosida,23,Random Forest,ASD,Rep_10
Phaephyceae,Magnoliosida,0,Random Forest,ASD,Rep_10
Ulvophyceae,Magnoliosida,0,Random Forest,ASD,Rep_10
Xanthophyceae,Magnoliosida,1,Random Forest,ASD,Rep_10
Bacillariophyceae,Phaephyceae,0,Random Forest,ASD,Rep_10
Bare Sediment,Phaephyceae,0,Random Forest,ASD,Rep_10
Magnoliosida,Phaephyceae,0,Random Forest,ASD,Rep_10
Phaephyceae,Phaephyceae,17,Random Forest,ASD,Rep_10
Ulvophyceae,Phaephyceae,0,Random Forest,ASD,Rep_10
Xanthophyceae,Phaephyceae,0,Random Forest,ASD,Rep_10
Bacillariophyceae,Ulvophyceae,0,Random Forest,ASD,Rep_10
Bare Sediment,Ulvophyceae,0,Random Forest,ASD,Rep_10
Magnoliosida,Ulvophyceae,1,Random Forest,ASD,Rep_10
Phaephyceae,Ulvophyceae,0,Random Forest,ASD,Rep_10
Ulvophyceae,Ulvophyceae,30,Random Forest,ASD,Rep_10
Xanthophyceae,Ulvophyceae,1,Random Forest,ASD,Rep_10
Bacillariophyceae,Xanthophyceae,0,Random Forest,ASD,Rep_10
Bare Sediment,Xanthophyceae,0,Random Forest,ASD,Rep_10
Magnoliosida,Xanthophyceae,0,Random Forest,ASD,Rep_10
Phaephyceae,Xanthophyceae,0,Random Forest,ASD,Rep_10
Ulvophyceae,Xanthophyceae,1,Random Forest,ASD,Rep_10
Xanthophyceae,Xanthophyceae,6,Random Forest,ASD,Rep_10
Bacillariophyceae,Bacillariophyceae,7,Random Forest,ASD,Rep_11
Bare Sediment,Bacillariophyceae,0,Random Forest,ASD,Rep_11
Magnoliosida,Bacillariophyceae,0,Random Forest,ASD,Rep_11
Phaephyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_11
Ulvophyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_11
Xanthophyceae,Bacillariophyceae,0,Random Forest,ASD,Rep_11
Bacillariophyceae,Bare Sediment,0,Random Forest,ASD,Rep_11
Bare Sediment,Bare Sediment,12,Random Forest,ASD,Rep_11
Magnoliosida,Bare Sediment,0,Random Forest,ASD,Rep_11
Phaephyceae,Bare Sediment,0,Random Forest,ASD,Rep_11
Ulvophyceae,Bare Sediment,0,Random Forest,ASD,Rep_11
Xanthophyceae,Bare Sediment,0,Random Forest,ASD,Rep_11
Bacillariophyceae,Magnoliosida,1,Random Forest,ASD,Rep_11
Bare Sediment,Magnoliosida,0,Random Forest,ASD,Rep_11
Magnoliosida,Magnoliosida,16,Random Forest,ASD,Rep_11
Phaephyceae,Magnoliosida,0,Random Forest,ASD,Rep_11
Ulvophyceae,Magnoliosida,0,Random Forest,ASD,Rep_11
Xanthophyceae,Magnoliosida,1,Random Forest,ASD,Rep_11
Bacillariophyceae,Phaephyceae,0,Random Forest,ASD,Rep_11
Bare Sediment,Phaephyceae,0,Random Forest,ASD,Rep_11
Magnoliosida,Phaephyceae,0,Random Forest,ASD,Rep_11
Phaephyceae,Phaephyceae,16,Random Forest,ASD,Rep_11
Ulvophyceae,Phaephyceae,1,Random Forest,ASD,Rep_11
Xanthophyceae,Phaephyceae,0,Random Forest,ASD,Rep_11
Bacillariophyceae,Ulvophyceae,0,Random Forest,ASD,Rep_11
Bare Sediment,Ulvophyceae,0,Random Forest,ASD,Rep_11
Magnoliosida,Ulvophyceae,0,Random Forest,ASD,Rep_11
Phaephyceae,Ulvophyceae,0,Random Forest,ASD,Rep_11
Ulvophyceae,Ulvophyceae,30,Random Forest,ASD,Rep_11
Xanthophyceae,Ulvophyceae,0,Random Forest,ASD,Rep_11
Bacillariophyceae,Xanthophyceae,0,Random Forest,ASD,Rep_11
Bare Sediment,Xanthophyceae,0,Random Forest,ASD,Rep_11
Magnoliosida,Xanthophyceae,0,Random Forest,ASD,Rep_11
Phaephyceae,Xanthophyceae,0,Random Forest,ASD,Rep_11
Ulvophyceae,Xanthophyceae,2,Random Forest,ASD,Rep_11
